e 	 6 	 per 	 0.000000 	 ber 	 0.000000 	
e 	 4 	 per 	 0.000000 	 ber 	 0.000000 	
e 	 6 	 per 	 0.000000 	 ber 	 0.000000 	
e 	 4 	 per 	 0.000000 	 ber 	 0.000000 	
e 	 6 	 per 	 0.000000 	 ber 	 0.000000 	
e 	 3 	 per 	 0.000000 	 ber 	 0.000000 	
e 	 3 	 per 	 0.000000 	 ber 	 0.000000 	
e 	 6 	 per 	 0.000000 	 ber 	 0.000000 	
e 	 4 	 per 	 0.000000 	 ber 	 0.000000 	
e 	 6 	 per 	 0.000000 	 ber 	 0.000000 	
e 	 1 	 per 	 0.000000 	 ber 	 0.000000 	
e 	 2 	 per 	 0.000000 	 ber 	 0.000000 	
e 	 2 	 per 	 0.000000 	 ber 	 0.000000 	
e 	 4 	 per 	 0.000000 	 ber 	 0.000000 	
e 	 5 	 per 	 0.000000 	 ber 	 0.000000 	
e 	 3 	 per 	 0.000000 	 ber 	 0.000000 	
e 	 3 	 per 	 0.000000 	 ber 	 0.000000 	
e 	 5 	 per 	 0.000000 	 ber 	 0.000000 	
e 	 4 	 per 	 0.000000 	 ber 	 0.000000 	
e 	 4 	 per 	 0.000000 	 ber 	 0.000000 	
e 	 6 	 per 	 0.000000 	 ber 	 0.000000 	
e 	 5 	 per 	 0.000000 	 ber 	 0.000000 	
e 	 5 	 per 	 0.000000 	 ber 	 0.000000 	
e 	 5 	 per 	 0.000000 	 ber 	 0.000000 	
e 	 5 	 per 	 0.000000 	 ber 	 0.000000 	
e 	 6 	 per 	 0.000000 	 ber 	 0.000000 	
e 	 1 	 per 	 0.000000 	 ber 	 0.000000 	
e 	 6 	 per 	 0.000000 	 ber 	 0.000000 	
e 	 6 	 per 	 0.000000 	 ber 	 0.000000 	
e 	 2 	 per 	 0.000000 	 ber 	 0.000000 	
e 	 2 	 per 	 0.000000 	 ber 	 0.000000 	
e 	 3 	 per 	 0.000000 	 ber 	 0.000000 	
e 	 4 	 per 	 0.000000 	 ber 	 0.000000 	
e 	 2 	 per 	 0.000000 	 ber 	 0.000000 	
e 	 2 	 per 	 0.000000 	 ber 	 0.000000 	
e 	 2 	 per 	 0.000000 	 ber 	 0.000000 	
e 	 1 	 per 	 0.000000 	 ber 	 0.000000 	
e 	 4 	 per 	 0.000000 	 ber 	 0.000000 	
e 	 3 	 per 	 0.000000 	 ber 	 0.000000 	
e 	 2 	 per 	 0.000000 	 ber 	 0.000000 	
e 	 4 	 per 	 0.000000 	 ber 	 0.000000 	
e 	 5 	 per 	 0.000000 	 ber 	 0.000000 	
e 	 5 	 per 	 0.000000 	 ber 	 0.000000 	
e 	 4 	 per 	 0.000000 	 ber 	 0.000000 	
e 	 3 	 per 	 0.000000 	 ber 	 0.000000 	
e 	 6 	 per 	 0.000000 	 ber 	 0.000000 	
